iter	Passed	Remaining
912	2722	259
913	2725	256
914	2728	253
915	2731	250
916	2734	247
917	2737	244
918	2740	241
919	2743	238
920	2745	235
921	2748	232
922	2751	229
923	2754	226
924	2756	223
925	2759	220
926	2762	217
927	2765	214
928	2768	211
929	2770	208
930	2773	205
931	2776	202
932	2780	199
933	2783	196
934	2785	193
935	2788	190
936	2791	187
937	2794	184
938	2797	181
939	2801	178
940	2804	175
941	2808	172
942	2811	169
943	2814	166
944	2817	163
945	2820	160
946	2823	158
947	2826	155
948	2829	152
949	2832	149
950	2835	146
951	2838	143
952	2841	140
953	2844	137
954	2847	134
955	2850	131
956	2854	128
957	2858	125
958	2863	122
959	2867	119
960	2870	116
961	2872	113
962	2875	110
963	2878	107
964	2881	104
965	2884	101
966	2887	98
967	2890	95
968	2893	92
969	2896	89
970	2899	86
971	2903	83
972	2906	80
973	2909	77
974	2911	74
975	2915	71
976	2917	68
977	2920	65
978	2923	62
979	2926	59
980	2929	56
981	2931	53
982	2934	50
983	2937	47
984	2940	44
985	2942	41
986	2945	38
987	2948	35
988	2950	32
989	2953	29
990	2956	26
991	2958	23
992	2961	20
993	2964	17
994	2967	14
995	2969	11
996	2972	8
997	2975	5
998	2978	2
999	2981	0
