iter	RMSE
155	0.9572237489
156	0.9571053167
157	0.9569443531
158	0.9566873563
159	0.9565203988
160	0.956305653
161	0.955954686
162	0.9556245843
163	0.9555370531
164	0.9552407022
165	0.954925856
166	0.9547411949
167	0.9544685752
168	0.954288351
169	0.9539546601
170	0.9537089392
171	0.9535109181
172	0.9532278739
173	0.9529126018
174	0.952704552
175	0.9522970007
176	0.9520398724
177	0.9517985136
178	0.9516681741
179	0.9515398761
180	0.9512303904
181	0.9511079138
182	0.9506469847
183	0.9502825157
184	0.9499885748
185	0.9496509325
186	0.9495365214
187	0.9493811701
188	0.9490220932
189	0.9486569397
190	0.9484164739
191	0.9480380921
192	0.9477565506
193	0.9475000139
194	0.9471625665
195	0.9469635512
196	0.9466856106
197	0.946445749
198	0.9460841947
199	0.9457357712
200	0.9454684471
201	0.9452982226
202	0.9450598526
203	0.9447601014
204	0.9446561489
205	0.944430123
206	0.9441684917
207	0.9439457347
208	0.9436528049
209	0.9435012493
210	0.943042108
211	0.9429220797
212	0.9427835278
213	0.9426885405
214	0.9424582055
215	0.9422585744
216	0.9418382022
217	0.9416646704
218	0.941422753
219	0.9413335184
220	0.9412020504
221	0.9408664634
222	0.9404638604
223	0.9403169699
224	0.9399235837
225	0.9398868444
226	0.9396711458
227	0.939400585
228	0.9391133958
229	0.9388610558
230	0.9387628522
231	0.9384441851
232	0.938102196
233	0.9379740127
234	0.9375752361
235	0.9373792214
236	0.9373444704
237	0.9369584139
238	0.9367053861
239	0.9363915444
240	0.9362762269
241	0.9359837348
242	0.9355911108
243	0.9353998472
244	0.9351044831
245	0.9349344095
246	0.9346417377
247	0.9343049272
248	0.9339615204
249	0.9336469018
250	0.9334419587
251	0.9332400182
252	0.9329503161
253	0.9326123687
254	0.9323426408
255	0.9319994907
256	0.9318193062
257	0.9316988395
258	0.931404356
259	0.9312509545
260	0.9309384969
261	0.9307171338
262	0.9303077489
263	0.9298434243
264	0.9296905046
265	0.9294818705
266	0.9292216813
267	0.9289985595
268	0.9287254454
269	0.9284689655
270	0.9283184503
271	0.92807708
272	0.9278845722
273	0.9276114462
274	0.92737048
275	0.9270639148
276	0.9268355843
277	0.9265339447
278	0.9262893231
279	0.9261555432
280	0.9257891949
281	0.9255310911
282	0.9253179968
283	0.9252981293
284	0.9249524242
285	0.9247564997
286	0.9244659116
287	0.924325028
288	0.9242053652
289	0.9241312408
290	0.92385793
291	0.9236727382
292	0.9234236052
293	0.9231433756
294	0.9229329792
295	0.9225539632
296	0.922254669
297	0.9219367476
298	0.9215975606
299	0.9213415929
300	0.9213056234
301	0.92127013
302	0.9210139571
303	0.9207399112
304	0.9204517466
305	0.9204167551
306	0.9201305079
307	0.919974263
308	0.9198073943
309	0.9195359581
310	0.9193365077
311	0.9191789055
312	0.9191206945
313	0.9188670652
314	0.9185417487
315	0.9182735139
316	0.9179796714
317	0.9177150807
318	0.9174632683
319	0.9171774935
320	0.9170499509
321	0.9169321613
322	0.9167817285
323	0.916489163
324	0.9163292859
325	0.9160956783
326	0.9159185139
327	0.9157327782
328	0.9155243317
329	0.9153946532
330	0.9151444842
331	0.9149389683
332	0.9146399167
333	0.9144028786
334	0.9142229586
335	0.9140430938
336	0.9137613977
337	0.9136001441
338	0.913581442
339	0.9133777461
340	0.9130604563
341	0.9128473058
342	0.91275889
343	0.9125098793
344	0.9121626231
345	0.9119072838
346	0.911681294
347	0.9114177219
348	0.9113541823
349	0.9111416644
350	0.910834135
351	0.910487839
352	0.9102504025
353	0.9100382766
354	0.9098291851
355	0.9096391039
356	0.9093781328
357	0.9090725325
358	0.9089026908
359	0.9086232825
360	0.9084498175
361	0.9081610128
362	0.9079053232
363	0.9078778424
364	0.9076438015
365	0.9074641875
366	0.9072521647
367	0.9070936723
368	0.9070503958
369	0.906865556
370	0.9066971354
371	0.9064185518
372	0.9060576031
373	0.9058359533
374	0.905548768
375	0.9052192367
376	0.9049875696
377	0.9048550173
378	0.904552161
379	0.9043091104
380	0.9040462086
381	0.9038684472
382	0.9035806707
383	0.9033046678
384	0.9031994966
385	0.9029975582
386	0.9028046913
387	0.9025299738
388	0.9023540935
389	0.9022171204
390	0.9019859052
391	0.9016972915
392	0.9015304192
393	0.9013338095
394	0.9011449901
395	0.9010184726
396	0.9007627998
397	0.9005268045
398	0.900231061
399	0.8999468129
400	0.8998718916
401	0.8996358879
402	0.8994381601
403	0.8994191722
404	0.8992917853
405	0.899199876
406	0.8989417016
407	0.8987636957
408	0.8984931624
409	0.8983780817
410	0.8983634679
411	0.8982346857
412	0.8978615751
413	0.8976445329
414	0.8975197705
415	0.8971108676
416	0.8967699409
417	0.8965225621
418	0.8963807606
419	0.89626883
420	0.8960306998
421	0.89584622
422	0.8956944033
423	0.8952842495
424	0.8952518473
425	0.8949428726
426	0.8946183007
427	0.8943368068
428	0.8940855497
429	0.8938324765
430	0.8935940227
431	0.8933971675
432	0.8930661987
433	0.8928629178
434	0.8927993315
435	0.8925647451
436	0.8923450899
437	0.8921451147
438	0.891960733
439	0.89169691
440	0.8915394165
441	0.891344301
442	0.8910301453
443	0.8908537106
444	0.89071054
445	0.8904915237
446	0.8902676086
447	0.8901438241
448	0.8898877997
449	0.8896282264
450	0.8893968162
451	0.8893066376
452	0.8891615646
453	0.8889617369
454	0.88874765
455	0.888431991
456	0.8882863133
457	0.8881723398
458	0.8880455986
459	0.8878353969
460	0.8876597643
461	0.8873792347
462	0.8872312413
463	0.8872123311
464	0.8869657558
465	0.8868215178
466	0.8865253652
467	0.8862830375
468	0.8861153588
469	0.8857946583
470	0.8856765464
471	0.8853876026
472	0.8851732245
473	0.8848204487
474	0.8847432486
475	0.8845773517
476	0.8843935478
477	0.8841202789
478	0.8841129622
479	0.8840325663
480	0.8837325136
481	0.8834104764
482	0.8831865779
483	0.882898174
484	0.8827337365
485	0.8827251971
486	0.8824827851
487	0.8823221077
488	0.8820451606
489	0.8817565559
490	0.8816343983
491	0.8814700562
492	0.881272812
493	0.8811416396
494	0.8810209563
495	0.8809010421
496	0.8807498156
497	0.8804146483
498	0.8801768239
499	0.8800607811
500	0.8798720295
501	0.879545088
502	0.8794241691
503	0.8792867533
504	0.8789978619
505	0.8788533905
506	0.8787237654
507	0.8785683198
508	0.8782546926
509	0.8780598705
510	0.8778721735
511	0.877587284
512	0.8773124202
513	0.8772562126
514	0.8771126574
515	0.8768790158
516	0.8766697799
517	0.8765457756
518	0.876363827
519	0.8762006661
520	0.8760476305
521	0.8758070553
522	0.8756356942
523	0.8754587147
524	0.8752579153
525	0.8749725426
526	0.8749598083
527	0.8747652867
528	0.874696961
529	0.8745667806
530	0.8745545317
531	0.8744509514
532	0.8743224675
533	0.8742530481
534	0.8739706473
535	0.8736797513
536	0.8734660249
537	0.8731088301
538	0.8728790943
539	0.8725872738
540	0.872451035
541	0.8722551863
542	0.8720400533
543	0.8717639244
544	0.8716224231
545	0.8713388248
546	0.8710257414
547	0.8708265457
548	0.8706093799
549	0.8703978432
550	0.8702161922
551	0.870009095
552	0.8697390584
553	0.8695949498
554	0.8692101456
555	0.8690424637
556	0.8687501923
557	0.8685331612
558	0.8682997754
559	0.8681938692
560	0.8679379523
561	0.867825503
562	0.8675327565
563	0.8673640732
564	0.8672308583
565	0.8670962281
566	0.8668124407
567	0.8665816645
568	0.8664220771
569	0.8661501479
570	0.865907058
571	0.865669636
572	0.8655686595
573	0.8654416463
574	0.8654254125
575	0.8652714103
576	0.8652546348
577	0.8652085434
578	0.8649045292
579	0.8647278289
580	0.8644893111
581	0.8642784168
582	0.8641449716
583	0.8639886037
584	0.863761031
585	0.8636391488
586	0.8634334846
587	0.863300231
588	0.8632322773
589	0.8631761594
590	0.8630388649
591	0.8630053011
592	0.8628040869
593	0.8626432917
594	0.862579983
595	0.8623708462
596	0.8622288372
597	0.8621132262
598	0.8618702271
599	0.8616627074
600	0.8613646504
601	0.8612552772
602	0.8612214949
603	0.8610592185
604	0.8609216001
605	0.860690028
606	0.8605874498
607	0.8604791871
608	0.8603807599
609	0.8603274726
610	0.8602288038
611	0.8600966192
612	0.8599200464
613	0.8597970343
614	0.8597058552
615	0.8596521164
616	0.8595426347
617	0.8595071953
618	0.8593307761
619	0.8591675143
620	0.8589607569
621	0.8586669288
622	0.8586305685
623	0.8584141702
624	0.8582679401
625	0.8581338688
626	0.8579827567
627	0.8577815687
628	0.8577754107
629	0.8577450389
630	0.8575598013
631	0.8571818738
632	0.8568671122
633	0.8566527296
634	0.8565186256
635	0.8562998905
636	0.8561457141
637	0.8560066173
638	0.8559849214
639	0.8559535491
640	0.8558438538
641	0.8556459613
642	0.8555094844
643	0.8553339241
644	0.8551352373
645	0.855127286
646	0.8549789483
647	0.8548520503
648	0.8546977336
649	0.8544649825
650	0.8542543793
651	0.8540077733
652	0.853807608
653	0.8536870848
654	0.8534566346
655	0.8532718781
656	0.8529213799
657	0.8527126234
658	0.8524744625
659	0.8523895731
660	0.8521082247
661	0.8519823333
662	0.8518537355
663	0.8516855039
664	0.8515481184
665	0.851449111
666	0.851299981
667	0.851159406
668	0.8511209189
669	0.8511176009
670	0.8509884681
671	0.8507175202
672	0.8504603827
673	0.85031266
674	0.8501159386
675	0.8499854649
676	0.8498415818
677	0.8495988986
678	0.8494508199
679	0.8493054573
680	0.8491610705
681	0.8490045036
682	0.8487283357
683	0.8485965324
684	0.8484389747
685	0.848239948
686	0.8481097985
687	0.8477683783
688	0.8476799294
689	0.8475859758
690	0.8474158383
691	0.8472822882
692	0.8471209419
693	0.8470283819
694	0.846946432
695	0.8467073881
696	0.8465000416
697	0.8463773218
698	0.8462681361
699	0.8461091502
700	0.8459663616
701	0.8459399535
702	0.8457587357
703	0.8456421607
704	0.8454567727
705	0.8452241308
706	0.8451105334
707	0.8449086117
708	0.8448064554
709	0.8446681602
710	0.8446515839
711	0.8445046945
712	0.8443049782
713	0.8441087954
714	0.8440200454
715	0.8438341993
716	0.8437109382
717	0.8436285792
718	0.843479668
719	0.8434421681
720	0.8433646815
721	0.8432708061
722	0.843102144
723	0.8428935799
724	0.8427798279
725	0.8424474667
726	0.8422855998
727	0.842104318
728	0.8419568856
729	0.841825724
730	0.8416632313
731	0.8414127654
732	0.8412521084
733	0.8411358095
734	0.8409722751
735	0.8408544651
736	0.8407245807
737	0.8405976544
738	0.8403435311
739	0.8401511176
740	0.8401109761
741	0.8399168701
742	0.8397982199
743	0.8395588077
744	0.8394723206
745	0.8393753389
746	0.8393169318
747	0.8391024617
748	0.8389412769
749	0.8387778776
750	0.8386874498
751	0.8384560658
752	0.8382831983
753	0.8382282732
754	0.8381786524
755	0.837896304
756	0.8378891774
757	0.8377579397
758	0.837574783
759	0.8373508008
760	0.837105709
761	0.8370118564
762	0.8368454889
763	0.8366086917
764	0.8364334696
765	0.8362976671
766	0.8360955555
767	0.8358243236
768	0.8355716847
769	0.8353829427
770	0.8352173665
771	0.8351119526
772	0.8349762046
773	0.8348124783
774	0.8346136677
775	0.8344927464
776	0.8343423459
777	0.8341712583
778	0.8340649155
779	0.8338092967
780	0.8337293442
781	0.8335421065
782	0.8335172259
783	0.8332666867
784	0.8331327406
785	0.8328729687
786	0.8326456226
787	0.8324376585
788	0.8322419069
789	0.8319615794
790	0.8318317384
791	0.8317588445
792	0.8315459215
793	0.8313236561
794	0.8312377126
795	0.8311756208
796	0.8309893343
797	0.8306972473
798	0.83050554
799	0.8303323875
800	0.8302173503
801	0.8299001781
802	0.8297556881
803	0.8295734371
804	0.8293514516
805	0.8291359011
806	0.828914954
807	0.8286915654
808	0.8285686645
809	0.8283394553
810	0.8281607451
811	0.8280044619
812	0.8278526648
813	0.8276584596
814	0.8272627992
815	0.8270790834
816	0.8270019432
817	0.8267426947
818	0.8266510345
819	0.8265452075
820	0.8264406273
821	0.8262721041
822	0.8261854936
823	0.8261115679
824	0.8259741011
825	0.8257513681
826	0.8255174603
827	0.8253460693
828	0.8251763907
829	0.8250361209
830	0.8248983557
831	0.8246935466
832	0.8245457737
833	0.8243825969
834	0.8243035394
835	0.8242245283
836	0.8240424315
837	0.823838275
838	0.823601106
839	0.8234276152
840	0.8231841321
841	0.8230363452
842	0.8228334254
843	0.8227649834
844	0.8225390742
845	0.8223484317
846	0.822313872
847	0.8220324831
848	0.8218345472
849	0.8216992162
850	0.8214832746
851	0.8213083064
852	0.8211265765
853	0.8210067513
854	0.8209023129
855	0.8207444514
856	0.8205448844
857	0.8203737677
858	0.8201911923
859	0.8199446589
860	0.8197734774
861	0.8196068689
862	0.8194929051
863	0.8193644416
864	0.8191900071
865	0.8190549127
866	0.8189750859
867	0.8188333891
868	0.8188148844
869	0.8187004512
870	0.8185205405
871	0.8185185058
872	0.8182322754
873	0.8178814661
874	0.8177832754
875	0.8176219589
876	0.8175025098
877	0.8172855014
878	0.8171526001
879	0.8170730492
880	0.8169276526
881	0.8168838075
882	0.8167755568
883	0.8166847295
884	0.8165478267
885	0.816343414
886	0.8160718265
887	0.8160445913
888	0.8158718003
889	0.8156885953
890	0.815520142
891	0.8152508013
892	0.8151267064
893	0.8149168658
894	0.8147644374
895	0.8147442558
896	0.8145242963
897	0.8143644937
898	0.8143510791
899	0.8142782529
900	0.8141630697
901	0.8139683288
902	0.813860249
903	0.8136541986
904	0.8135731588
905	0.8134118343
906	0.8132873904
907	0.8131451317
908	0.8129337465
909	0.8127455285
910	0.8124964898
911	0.8123159798
912	0.8120409346
913	0.8120059789
914	0.8118243629
915	0.8115449952
916	0.8112693465
917	0.8111926764
918	0.8111242612
919	0.8109317605
920	0.8107297931
921	0.8105839284
922	0.8104768545
923	0.8103220899
924	0.8101884735
925	0.8101469243
926	0.8100359636
927	0.8099500133
928	0.8097508668
929	0.8094938637
930	0.8092138757
931	0.8090369888
932	0.8088093006
933	0.8086534513
934	0.8085652264
935	0.8083443229
936	0.8081490524
937	0.8079294504
938	0.8077559759
939	0.8076036073
940	0.8074811181
941	0.8073033378
942	0.8072041256
943	0.8070072965
944	0.8068498028
945	0.8066479001
946	0.8064839391
947	0.8063850938
948	0.8061173204
949	0.8059171855
950	0.8058061803
951	0.8056278227
952	0.8054646537
953	0.8053253894
954	0.8050670087
955	0.804893543
956	0.8047230242
957	0.8044828712
958	0.8043359396
959	0.804181587
960	0.8040652636
961	0.8039816588
962	0.8038723975
963	0.8036638968
964	0.803600789
965	0.8034384006
966	0.8033548833
967	0.8032858576
968	0.8030722004
969	0.8030055303
970	0.8029740377
971	0.8027725487
972	0.8025429956
973	0.8023331642
974	0.8023306295
975	0.8022102365
976	0.8020474066
977	0.8020065123
978	0.8018876686
979	0.8017584309
980	0.8016564075
981	0.8013752173
982	0.8012136679
983	0.8010225636
984	0.8008282559
985	0.8007650845
986	0.8006202302
987	0.8005372855
988	0.8004730854
989	0.8003685838
990	0.8002078618
991	0.8000347245
992	0.7999427622
993	0.7998555436
994	0.7996874769
995	0.799685625
996	0.7995520931
997	0.7993972917
998	0.7993032748
999	0.7991391545
